Champion,Talent,Card,Card Level,Winrate,Match Count,Confidence Interval -,Confidence Interval +
Androxus,Cursed Revolver,Disrupt,4,42%,205,33%,51%
Androxus,Cursed Revolver,Spiteful,4,38%,75,24%,52%
Androxus,Cursed Revolver,Buying Time,4,39%,51,22%,55%
Androxus,Cursed Revolver,Elusive,3,51%,"26,577",50%,52%
Androxus,Cursed Revolver,Sleight of Hand,3,51%,"9,839",49%,52%
Androxus,Cursed Revolver,Through the Warp,3,50%,"25,904",49%,51%
Androxus,Cursed Revolver,Marksman,3,51%,"2,436",48%,54%
Androxus,Cursed Revolver,Abyss Walker,3,49%,"9,932",48%,51%
Androxus,Cursed Revolver,Quick Draw,3,49%,"7,159",48%,51%
Androxus,Cursed Revolver,Power of the Abyss,3,48%,"2,927",46%,51%
Androxus,Cursed Revolver,Buying Time,3,48%,"1,390",45%,52%
Androxus,Cursed Revolver,Seething Hatred,3,47%,"3,754",45%,50%
Androxus,Cursed Revolver,Watchful,3,46%,"7,622",44%,47%
Androxus,Cursed Revolver,Equivalent Exchange,3,46%,811,42%,51%
Androxus,Cursed Revolver,Abyssal Touch,3,46%,798,42%,51%
Androxus,Cursed Revolver,Vengeance,3,48%,232,40%,57%
Androxus,Cursed Revolver,Featherweight,3,42%,608,37%,47%
Androxus,Cursed Revolver,Disrupt,3,40%,466,34%,46%
Androxus,Cursed Revolver,Spiteful,3,43%,121,32%,55%
Androxus,Cursed Revolver,Marksman,2,51%,"20,438",50%,52%
Androxus,Cursed Revolver,Sleight of Hand,2,50%,"25,307",49%,50%
Androxus,Cursed Revolver,Elusive,2,50%,"10,502",49%,51%
Androxus,Cursed Revolver,Power of the Abyss,2,51%,"1,938",48%,54%
Androxus,Cursed Revolver,Through the Warp,2,49%,"11,773",48%,50%
Androxus,Cursed Revolver,Buying Time,2,50%,"3,118",47%,52%
Androxus,Cursed Revolver,Abyss Walker,2,49%,"2,818",47%,51%
Androxus,Cursed Revolver,Quick Draw,2,48%,"9,592",47%,49%
Androxus,Cursed Revolver,Seething Hatred,2,48%,"6,378",47%,50%
Androxus,Cursed Revolver,Watchful,2,48%,"1,800",45%,51%
Androxus,Cursed Revolver,Equivalent Exchange,2,48%,611,42%,53%
Androxus,Cursed Revolver,Abyssal Touch,2,46%,883,42%,50%
Androxus,Cursed Revolver,Vengeance,2,47%,425,41%,53%
Androxus,Cursed Revolver,Featherweight,2,45%,782,40%,50%
Androxus,Cursed Revolver,Disrupt,2,42%,"2,704",39%,44%
Androxus,Cursed Revolver,Spiteful,2,42%,172,32%,51%
Androxus,Cursed Revolver,Marksman,1,52%,"5,410",50%,54%
Androxus,Cursed Revolver,Buying Time,1,50%,"4,941",48%,51%
Androxus,Cursed Revolver,Sleight of Hand,1,50%,"4,816",48%,52%
Androxus,Cursed Revolver,Through the Warp,1,49%,"1,511",45%,52%
Androxus,Cursed Revolver,Power of the Abyss,1,49%,775,45%,54%
Androxus,Cursed Revolver,Elusive,1,48%,"2,378",45%,50%
Androxus,Cursed Revolver,Seething Hatred,1,47%,"2,701",45%,50%
Androxus,Cursed Revolver,Featherweight,1,49%,672,44%,54%
Androxus,Cursed Revolver,Disrupt,1,48%,620,43%,53%
Androxus,Cursed Revolver,Quick Draw,1,47%,"1,409",43%,50%
Androxus,Cursed Revolver,Abyss Walker,1,47%,"1,389",43%,50%
Androxus,Cursed Revolver,Watchful,1,45%,751,40%,49%
Androxus,Cursed Revolver,Abyssal Touch,1,45%,516,39%,51%
Androxus,Cursed Revolver,Vengeance,1,44%,304,37%,52%
Androxus,Cursed Revolver,Equivalent Exchange,1,43%,346,36%,50%
Androxus,Cursed Revolver,Spiteful,1,45%,149,35%,55%
Androxus,Cursed Revolver,,0,50%,10,18%,81%
Androxus,Defiant Fist,Elusive,5,55%,140,44%,65%
Androxus,Defiant Fist,Watchful,5,47%,379,41%,54%
Androxus,Defiant Fist,Abyssal Touch,5,42%,890,38%,46%
Androxus,Defiant Fist,Through the Warp,5,46%,120,35%,58%
Androxus,Defiant Fist,Power of the Abyss,5,45%,48,28%,63%
Androxus,Defiant Fist,Spiteful,5,38%,107,26%,50%
Androxus,Defiant Fist,Seething Hatred,5,43%,41,25%,62%
Androxus,Defiant Fist,Vengeance,5,38%,89,25%,51%
Androxus,Defiant Fist,Abyss Walker,5,32%,185,24%,41%
Androxus,Defiant Fist,Equivalent Exchange,5,41%,43,23%,59%
Androxus,Defiant Fist,Quick Draw,5,33%,86,21%,46%
Androxus,Defiant Fist,Disrupt,5,36%,38,18%,55%
Androxus,Defiant Fist,Marksman,5,40%,25,17%,62%
Androxus,Defiant Fist,Sleight of Hand,5,42%,19,16%,67%
Androxus,Defiant Fist,Buying Time,5,33%,6,0%,68%
Androxus,Defiant Fist,Featherweight,5,15%,13,0%,39%
Androxus,Defiant Fist,Watchful,4,50%,360,43%,57%
Androxus,Defiant Fist,Abyssal Touch,4,48%,264,41%,56%
Androxus,Defiant Fist,Power of the Abyss,4,45%,275,37%,52%
Androxus,Defiant Fist,Abyss Walker,4,45%,266,37%,52%
Androxus,Defiant Fist,Elusive,4,46%,144,36%,56%
Androxus,Defiant Fist,Through the Warp,4,42%,449,36%,48%
Androxus,Defiant Fist,Vengeance,4,40%,561,34%,45%
Androxus,Defiant Fist,Quick Draw,4,44%,115,32%,55%
Androxus,Defiant Fist,Seething Hatred,4,45%,84,31%,58%
Androxus,Defiant Fist,Marksman,4,44%,43,26%,62%
Androxus,Defiant Fist,Buying Time,4,66%,3,25%,100%
Androxus,Defiant Fist,Equivalent Exchange,4,43%,44,25%,61%
Androxus,Defiant Fist,Spiteful,4,39%,79,25%,52%
Androxus,Defiant Fist,Featherweight,4,33%,106,22%,45%
Androxus,Defiant Fist,Disrupt,4,43%,16,16%,70%
Androxus,Defiant Fist,Sleight of Hand,4,41%,17,14%,67%
Androxus,Defiant Fist,Marksman,3,46%,347,39%,52%
Androxus,Defiant Fist,Abyss Walker,3,46%,345,39%,53%
Androxus,Defiant Fist,Through the Warp,3,44%,516,38%,49%
Androxus,Defiant Fist,Abyssal Touch,3,46%,164,36%,56%
Androxus,Defiant Fist,Elusive,3,42%,394,36%,49%
Androxus,Defiant Fist,Vengeance,3,44%,208,35%,52%
Androxus,Defiant Fist,Watchful,3,42%,332,35%,49%
Androxus,Defiant Fist,Featherweight,3,47%,71,33%,62%
Androxus,Defiant Fist,Quick Draw,3,40%,214,31%,48%
Androxus,Defiant Fist,Sleight of Hand,3,40%,160,30%,49%
Androxus,Defiant Fist,Seething Hatred,3,38%,166,29%,48%
Androxus,Defiant Fist,Power of the Abyss,3,40%,74,26%,54%
Androxus,Defiant Fist,Equivalent Exchange,3,36%,123,25%,47%
Androxus,Defiant Fist,Spiteful,3,38%,73,24%,52%
Androxus,Defiant Fist,Buying Time,3,38%,59,23%,54%
Androxus,Defiant Fist,Disrupt,3,26%,52,11%,42%
Androxus,Defiant Fist,Featherweight,2,50%,112,39%,62%
Androxus,Defiant Fist,Sleight of Hand,2,44%,482,39%,50%
Androxus,Defiant Fist,Marksman,2,43%,879,39%,47%
Androxus,Defiant Fist,Buying Time,2,49%,100,36%,61%
Androxus,Defiant Fist,Quick Draw,2,43%,305,36%,50%
Androxus,Defiant Fist,Elusive,2,41%,679,36%,46%
Androxus,Defiant Fist,Power of the Abyss,2,47%,101,35%,59%
Androxus,Defiant Fist,Through the Warp,2,42%,344,35%,48%
Androxus,Defiant Fist,Watchful,2,39%,629,34%,44%
Androxus,Defiant Fist,Vengeance,2,40%,209,31%,48%
Androxus,Defiant Fist,Abyss Walker,2,42%,110,30%,54%
Androxus,Defiant Fist,Seething Hatred,2,40%,130,29%,51%
Androxus,Defiant Fist,Abyssal Touch,2,39%,101,27%,51%
Androxus,Defiant Fist,Equivalent Exchange,2,38%,67,24%,53%
Androxus,Defiant Fist,Disrupt,2,33%,119,22%,44%
Androxus,Defiant Fist,Spiteful,2,37%,53,21%,53%
Androxus,Defiant Fist,Quick Draw,1,55%,93,43%,68%
Androxus,Defiant Fist,Sleight of Hand,1,49%,221,40%,57%
Androxus,Defiant Fist,Buying Time,1,48%,117,37%,60%
Androxus,Defiant Fist,Marksman,1,45%,157,35%,55%
Androxus,Defiant Fist,Disrupt,1,52%,44,34%,70%
Androxus,Defiant Fist,Watchful,1,45%,104,33%,57%
Androxus,Defiant Fist,Seething Hatred,1,43%,148,33%,54%
Androxus,Defiant Fist,Elusive,1,43%,121,32%,55%
Androxus,Defiant Fist,Featherweight,1,48%,33,28%,68%
Androxus,Defiant Fist,Power of the Abyss,1,43%,67,28%,58%
Androxus,Defiant Fist,Equivalent Exchange,1,42%,54,26%,58%
Androxus,Defiant Fist,Through the Warp,1,38%,68,23%,52%
Androxus,Defiant Fist,Vengeance,1,35%,81,22%,49%
Androxus,Defiant Fist,Abyss Walker,1,36%,49,20%,53%
Androxus,Defiant Fist,Abyssal Touch,1,30%,55,15%,46%
Androxus,Defiant Fist,Spiteful,1,30%,20,6%,53%
Androxus,Godslayer,Seething Hatred,5,47%,"2,434",44%,49%
Androxus,Godslayer,Power of the Abyss,5,46%,872,41%,50%
Androxus,Godslayer,Disrupt,5,44%,"2,088",41%,47%
Androxus,Godslayer,Quick Draw,5,46%,357,39%,53%
Androxus,Godslayer,Watchful,5,42%,995,38%,46%
Androxus,Godslayer,Equivalent Exchange,5,43%,416,37%,49%
Androxus,Godslayer,Abyss Walker,5,42%,659,37%,47%
Androxus,Godslayer,Abyssal Touch,5,42%,349,36%,49%
Androxus,Godslayer,Through the Warp,5,41%,343,34%,47%
Androxus,Godslayer,Sleight of Hand,5,46%,43,28%,64%
Androxus,Godslayer,Elusive,5,41%,77,27%,55%
Androxus,Godslayer,Featherweight,5,40%,89,27%,53%
Androxus,Godslayer,Vengeance,5,42%,33,22%,62%
Androxus,Godslayer,Spiteful,5,42%,28,21%,64%
Androxus,Godslayer,Buying Time,5,30%,23,8%,52%
Androxus,Godslayer,Marksman,5,28%,7,0%,61%
Androxus,Godslayer,Seething Hatred,4,47%,"1,572",43%,50%
Androxus,Godslayer,Disrupt,4,47%,781,42%,52%
Androxus,Godslayer,Abyss Walker,4,46%,872,42%,50%
Androxus,Godslayer,Watchful,4,46%,595,41%,51%
Androxus,Godslayer,Power of the Abyss,4,44%,"3,163",41%,46%
Androxus,Godslayer,Equivalent Exchange,4,45%,477,39%,51%
Androxus,Godslayer,Sleight of Hand,4,49%,153,38%,59%
Androxus,Godslayer,Spiteful,4,57%,35,37%,76%
Androxus,Godslayer,Elusive,4,45%,288,37%,52%
Androxus,Godslayer,Through the Warp,4,40%,"1,324",37%,44%
Androxus,Godslayer,Quick Draw,4,42%,421,36%,48%
Androxus,Godslayer,Featherweight,4,40%,607,35%,45%
Androxus,Godslayer,Buying Time,4,45%,88,32%,58%
Androxus,Godslayer,Vengeance,4,39%,324,32%,46%
Androxus,Godslayer,Abyssal Touch,4,37%,45,20%,55%
Androxus,Godslayer,Marksman,4,37%,40,19%,55%
Androxus,Godslayer,Vengeance,3,49%,302,42%,56%
Androxus,Godslayer,Buying Time,3,46%,934,42%,51%
Androxus,Godslayer,Disrupt,3,46%,765,42%,51%
Androxus,Godslayer,Power of the Abyss,3,45%,"1,346",42%,49%
Androxus,Godslayer,Abyss Walker,3,44%,"1,554",41%,47%
Androxus,Godslayer,Equivalent Exchange,3,44%,"1,029",40%,47%
Androxus,Godslayer,Elusive,3,43%,"1,897",40%,45%
Androxus,Godslayer,Through the Warp,3,42%,"2,484",40%,45%
Androxus,Godslayer,Seething Hatred,3,42%,"2,147",39%,44%
Androxus,Godslayer,Watchful,3,42%,"1,340",39%,46%
Androxus,Godslayer,Sleight of Hand,3,43%,702,38%,48%
Androxus,Godslayer,Quick Draw,3,40%,898,36%,45%
Androxus,Godslayer,Marksman,3,42%,213,34%,51%
Androxus,Godslayer,Featherweight,3,42%,210,34%,51%
Androxus,Godslayer,Abyssal Touch,3,44%,94,31%,57%
Androxus,Godslayer,Spiteful,3,36%,49,20%,53%
Androxus,Godslayer,Buying Time,2,47%,"1,443",44%,51%
Androxus,Godslayer,Through the Warp,2,46%,"1,174",42%,50%
Androxus,Godslayer,Sleight of Hand,2,44%,"1,838",41%,47%
Androxus,Godslayer,Power of the Abyss,2,44%,"1,046",40%,48%
Androxus,Godslayer,Quick Draw,2,43%,"2,165",40%,46%
Androxus,Godslayer,Vengeance,2,48%,228,39%,56%
Androxus,Godslayer,Abyss Walker,2,45%,360,39%,52%
Androxus,Godslayer,Disrupt,2,43%,"1,018",39%,47%
Androxus,Godslayer,Elusive,2,42%,943,38%,46%
Androxus,Godslayer,Watchful,2,42%,786,38%,47%
Androxus,Godslayer,Marksman,2,42%,715,38%,47%
Androxus,Godslayer,Seething Hatred,2,41%,924,37%,46%
Androxus,Godslayer,Equivalent Exchange,2,42%,389,36%,49%
Androxus,Godslayer,Featherweight,2,42%,262,34%,50%
Androxus,Godslayer,Abyssal Touch,2,38%,139,28%,49%
Androxus,Godslayer,Spiteful,2,41%,85,27%,54%
Androxus,Godslayer,Buying Time,1,46%,"1,373",43%,49%
Androxus,Godslayer,Seething Hatred,1,49%,312,42%,56%
Androxus,Godslayer,Watchful,1,46%,988,42%,50%
Androxus,Godslayer,Sleight of Hand,1,46%,722,42%,51%
Androxus,Godslayer,Abyss Walker,1,48%,370,41%,54%
Androxus,Godslayer,Elusive,1,45%,615,40%,50%
Androxus,Godslayer,Through the Warp,1,45%,486,39%,51%
Androxus,Godslayer,Equivalent Exchange,1,45%,416,39%,51%
Androxus,Godslayer,Quick Draw,1,43%,687,38%,48%
Androxus,Godslayer,Power of the Abyss,1,43%,399,37%,50%
Androxus,Godslayer,Disrupt,1,41%,285,34%,49%
Androxus,Godslayer,Marksman,1,41%,269,33%,49%
Androxus,Godslayer,Vengeance,1,38%,178,29%,48%
Androxus,Godslayer,Abyssal Touch,1,39%,118,28%,51%
Androxus,Godslayer,Featherweight,1,32%,183,23%,41%
Androxus,Godslayer,Spiteful,1,31%,47,15%,48%
Androxus,Godslayer,,0,0%,10,0%,19%
Ash,Battering Ram,Indomitable,5,55%,"17,600",54%,56%
Ash,Battering Ram,Heavy Metal,5,53%,"3,814",51%,55%
Ash,Battering Ram,Gate-Crasher,5,52%,"13,546",51%,53%
Ash,Battering Ram,War Machine,5,54%,"1,177",50%,58%
Ash,Battering Ram,Brawl,5,53%,"1,419",50%,56%
Ash,Battering Ram,Vanguard,5,52%,"1,209",49%,56%
Ash,Battering Ram,Ramparts,5,53%,443,47%,59%
Ash,Battering Ram,Siege Engine,5,50%,"1,403",46%,53%
Ash,Battering Ram,Percussion,5,48%,"3,979",46%,50%
Ash,Battering Ram,Castle-Forged,5,50%,615,45%,55%
Ash,Battering Ram,Thrive,5,49%,621,44%,54%
Ash,Battering Ram,Furious Charge,5,46%,"1,045",42%,50%
Ash,Battering Ram,Fervor,5,50%,156,39%,60%
Ash,Battering Ram,Watchtower,5,58%,31,37%,78%
Ash,Battering Ram,Battlement,5,44%,36,24%,64%
Ash,Battering Ram,Trebuchet,5,0%,1,0%,43%
Ash,Battering Ram,Heavy Metal,4,55%,"5,152",53%,56%
Ash,Battering Ram,Gate-Crasher,4,53%,"5,366",51%,55%
Ash,Battering Ram,Vanguard,4,53%,"3,527",51%,55%
Ash,Battering Ram,Brawl,4,54%,867,50%,58%
Ash,Battering Ram,War Machine,4,53%,"2,351",50%,56%
Ash,Battering Ram,Indomitable,4,52%,"6,128",50%,54%
Ash,Battering Ram,Percussion,4,51%,"2,255",48%,54%
Ash,Battering Ram,Siege Engine,4,51%,907,47%,56%
Ash,Battering Ram,Castle-Forged,4,50%,"1,053",46%,54%
Ash,Battering Ram,Ramparts,4,51%,568,45%,56%
Ash,Battering Ram,Thrive,4,49%,689,44%,54%
Ash,Battering Ram,Furious Charge,4,48%,769,44%,53%
Ash,Battering Ram,Fervor,4,51%,160,41%,61%
Ash,Battering Ram,Trebuchet,4,75%,4,37%,100%
Ash,Battering Ram,Watchtower,4,41%,105,29%,53%
Ash,Battering Ram,Battlement,4,36%,150,26%,45%
Ash,Battering Ram,Gate-Crasher,3,53%,"3,162",51%,55%
Ash,Battering Ram,Vanguard,3,52%,"12,626",51%,54%
Ash,Battering Ram,Fervor,3,55%,534,50%,61%
Ash,Battering Ram,War Machine,3,52%,"3,874",50%,54%
Ash,Battering Ram,Heavy Metal,3,51%,"9,180",50%,53%
Ash,Battering Ram,Indomitable,3,51%,"6,754",49%,52%
Ash,Battering Ram,Percussion,3,51%,"2,697",49%,54%
Ash,Battering Ram,Brawl,3,50%,"1,609",47%,53%
Ash,Battering Ram,Thrive,3,50%,"1,479",47%,54%
Ash,Battering Ram,Ramparts,3,50%,730,45%,55%
Ash,Battering Ram,Furious Charge,3,48%,"1,276",45%,52%
Ash,Battering Ram,Siege Engine,3,48%,"1,250",45%,52%
Ash,Battering Ram,Castle-Forged,3,47%,"1,095",43%,51%
Ash,Battering Ram,Battlement,3,50%,289,42%,57%
Ash,Battering Ram,Watchtower,3,44%,258,36%,52%
Ash,Battering Ram,Trebuchet,3,44%,127,33%,55%
Ash,Battering Ram,Percussion,2,54%,"2,634",51%,56%
Ash,Battering Ram,Trebuchet,2,56%,562,50%,61%
Ash,Battering Ram,Gate-Crasher,2,53%,"1,916",50%,56%
Ash,Battering Ram,Heavy Metal,2,52%,"5,107",50%,54%
Ash,Battering Ram,Fervor,2,52%,"1,782",49%,55%
Ash,Battering Ram,Siege Engine,2,52%,"1,436",49%,56%
Ash,Battering Ram,Vanguard,2,51%,"2,532",48%,53%
Ash,Battering Ram,Thrive,2,51%,"1,535",47%,54%
Ash,Battering Ram,War Machine,2,50%,"2,175",47%,53%
Ash,Battering Ram,Castle-Forged,2,50%,"1,000",46%,54%
Ash,Battering Ram,Brawl,2,49%,"1,291",45%,52%
Ash,Battering Ram,Indomitable,2,49%,"1,165",45%,53%
Ash,Battering Ram,Furious Charge,2,48%,"1,117",44%,52%
Ash,Battering Ram,Ramparts,2,47%,"1,290",44%,51%
Ash,Battering Ram,Battlement,2,47%,"1,194",43%,50%
Ash,Battering Ram,Watchtower,2,49%,371,42%,55%
Ash,Battering Ram,Fervor,1,55%,"6,280",54%,57%
Ash,Battering Ram,Trebuchet,1,55%,"3,524",53%,57%
Ash,Battering Ram,Heavy Metal,1,53%,"7,602",52%,55%
Ash,Battering Ram,Gate-Crasher,1,54%,"1,613",51%,57%
Ash,Battering Ram,War Machine,1,53%,"4,572",51%,55%
Ash,Battering Ram,Percussion,1,52%,"11,923",51%,54%
Ash,Battering Ram,Siege Engine,1,52%,"2,890",50%,54%
Ash,Battering Ram,Furious Charge,1,52%,"1,529",49%,55%
Ash,Battering Ram,Thrive,1,52%,"1,593",48%,55%
Ash,Battering Ram,Vanguard,1,51%,"2,023",48%,54%
Ash,Battering Ram,Brawl,1,51%,"1,409",48%,54%
Ash,Battering Ram,Battlement,1,53%,480,47%,58%
Ash,Battering Ram,Castle-Forged,1,51%,"1,077",47%,55%
Ash,Battering Ram,Indomitable,1,50%,"1,103",46%,54%
Ash,Battering Ram,Ramparts,1,51%,627,45%,56%
Ash,Battering Ram,Watchtower,1,47%,322,40%,54%
Ash,Fortress Breaker,Indomitable,5,54%,"8,729",52%,55%
Ash,Fortress Breaker,Siege Engine,5,52%,"12,420",50%,53%
Ash,Fortress Breaker,Heavy Metal,5,52%,"3,436",49%,54%
Ash,Fortress Breaker,Ramparts,5,51%,"4,742",49%,53%
Ash,Fortress Breaker,Brawl,5,50%,837,46%,55%
Ash,Fortress Breaker,Gate-Crasher,5,49%,"1,390",46%,52%
Ash,Fortress Breaker,Percussion,5,48%,"2,938",46%,51%
Ash,Fortress Breaker,Fervor,5,54%,185,44%,63%
Ash,Fortress Breaker,Vanguard,5,52%,187,43%,62%
Ash,Fortress Breaker,War Machine,5,48%,626,42%,53%
Ash,Fortress Breaker,Battlement,5,47%,596,42%,52%
Ash,Fortress Breaker,Furious Charge,5,46%,628,41%,51%
Ash,Fortress Breaker,Watchtower,5,46%,527,40%,52%
Ash,Fortress Breaker,Castle-Forged,5,44%,800,39%,49%
Ash,Fortress Breaker,Thrive,5,43%,263,35%,51%
Ash,Fortress Breaker,Trebuchet,5,16%,6,0%,48%
Ash,Fortress Breaker,Heavy Metal,4,53%,"3,808",51%,55%
Ash,Fortress Breaker,Indomitable,4,52%,"11,048",51%,53%
Ash,Fortress Breaker,Ramparts,4,52%,"4,737",50%,54%
Ash,Fortress Breaker,Siege Engine,4,51%,"3,353",49%,54%
Ash,Fortress Breaker,War Machine,4,51%,"1,704",48%,54%
Ash,Fortress Breaker,Gate-Crasher,4,52%,653,47%,57%
Ash,Fortress Breaker,Thrive,4,53%,301,46%,60%
Ash,Fortress Breaker,Brawl,4,50%,"1,089",46%,54%
Ash,Fortress Breaker,Watchtower,4,50%,957,46%,54%
Ash,Fortress Breaker,Percussion,4,49%,"1,846",46%,52%
Ash,Fortress Breaker,Vanguard,4,51%,498,45%,57%
Ash,Fortress Breaker,Castle-Forged,4,48%,"1,248",44%,51%
Ash,Fortress Breaker,Battlement,4,48%,"1,114",44%,52%
Ash,Fortress Breaker,Furious Charge,4,49%,395,43%,56%
Ash,Fortress Breaker,Fervor,4,49%,136,38%,60%
Ash,Fortress Breaker,Trebuchet,4,44%,27,22%,66%
Ash,Fortress Breaker,Heavy Metal,3,52%,"4,375",50%,54%
Ash,Fortress Breaker,Ramparts,3,52%,"3,397",50%,54%
Ash,Fortress Breaker,Indomitable,3,52%,"3,463",49%,54%
Ash,Fortress Breaker,Siege Engine,3,51%,"3,401",49%,53%
Ash,Fortress Breaker,Vanguard,3,51%,"2,157",49%,54%
Ash,Fortress Breaker,War Machine,3,50%,"2,433",48%,53%
Ash,Fortress Breaker,Battlement,3,51%,"1,601",47%,54%
Ash,Fortress Breaker,Castle-Forged,3,51%,"1,205",47%,54%
Ash,Fortress Breaker,Brawl,3,50%,"2,114",47%,53%
Ash,Fortress Breaker,Trebuchet,3,53%,318,46%,60%
Ash,Fortress Breaker,Thrive,3,50%,"1,036",46%,54%
Ash,Fortress Breaker,Percussion,3,49%,"2,308",46%,52%
Ash,Fortress Breaker,Gate-Crasher,3,49%,782,44%,54%
Ash,Fortress Breaker,Fervor,3,49%,586,44%,54%
Ash,Fortress Breaker,Watchtower,3,48%,"1,094",44%,52%
Ash,Fortress Breaker,Furious Charge,3,46%,740,41%,50%
Ash,Fortress Breaker,Fervor,2,53%,"1,388",50%,57%
Ash,Fortress Breaker,Heavy Metal,2,51%,"8,640",50%,52%
Ash,Fortress Breaker,Siege Engine,2,52%,"2,071",49%,54%
Ash,Fortress Breaker,Ramparts,2,51%,"7,014",49%,52%
Ash,Fortress Breaker,Battlement,2,50%,"7,205",49%,52%
Ash,Fortress Breaker,Indomitable,2,52%,"1,410",48%,55%
Ash,Fortress Breaker,Watchtower,2,52%,"1,151",48%,56%
Ash,Fortress Breaker,Percussion,2,51%,"2,674",48%,53%
Ash,Fortress Breaker,Castle-Forged,2,51%,"1,247",48%,55%
Ash,Fortress Breaker,Brawl,2,51%,"1,625",47%,54%
Ash,Fortress Breaker,War Machine,2,50%,"1,810",47%,53%
Ash,Fortress Breaker,Furious Charge,2,51%,682,46%,56%
Ash,Fortress Breaker,Trebuchet,2,51%,651,46%,56%
Ash,Fortress Breaker,Gate-Crasher,2,50%,786,45%,54%
Ash,Fortress Breaker,Vanguard,2,49%,970,45%,53%
Ash,Fortress Breaker,Thrive,2,48%,984,44%,52%
Ash,Fortress Breaker,Fervor,1,54%,"3,474",52%,56%
Ash,Fortress Breaker,Trebuchet,1,53%,"4,078",51%,55%
Ash,Fortress Breaker,Heavy Metal,1,52%,"5,781",50%,53%
Ash,Fortress Breaker,Gate-Crasher,1,53%,829,49%,58%
Ash,Fortress Breaker,Castle-Forged,1,52%,"1,818",49%,55%
Ash,Fortress Breaker,War Machine,1,51%,"3,855",49%,53%
Ash,Fortress Breaker,Percussion,1,51%,"3,664",49%,53%
Ash,Fortress Breaker,Watchtower,1,50%,"1,519",47%,54%
Ash,Fortress Breaker,Brawl,1,50%,"1,465",47%,54%
Ash,Fortress Breaker,Vanguard,1,51%,923,46%,55%
Ash,Fortress Breaker,Battlement,1,50%,"1,440",46%,53%
Ash,Fortress Breaker,Indomitable,1,50%,"1,186",46%,53%
Ash,Fortress Breaker,Ramparts,1,50%,"1,147",46%,53%
Ash,Fortress Breaker,Thrive,1,50%,826,46%,55%
Ash,Fortress Breaker,Siege Engine,1,49%,"1,807",46%,52%
Ash,Fortress Breaker,Furious Charge,1,48%,801,44%,53%
Ash,Slug Shot,Indomitable,5,51%,"5,268",50%,53%
Ash,Slug Shot,Heavy Metal,5,52%,"2,329",49%,54%
Ash,Slug Shot,War Machine,5,54%,348,47%,61%
Ash,Slug Shot,Percussion,5,51%,"1,189",47%,55%
Ash,Slug Shot,Brawl,5,53%,376,46%,59%
Ash,Slug Shot,Trebuchet,5,72%,11,44%,100%
Ash,Slug Shot,Ramparts,5,50%,327,43%,57%
Ash,Slug Shot,Gate-Crasher,5,48%,725,43%,52%
Ash,Slug Shot,Siege Engine,5,48%,660,43%,53%
Ash,Slug Shot,Castle-Forged,5,50%,274,42%,57%
Ash,Slug Shot,Vanguard,5,48%,133,37%,59%
Ash,Slug Shot,Furious Charge,5,46%,202,37%,54%
Ash,Slug Shot,Fervor,5,46%,105,34%,58%
Ash,Slug Shot,Thrive,5,42%,123,31%,53%
Ash,Slug Shot,Watchtower,5,50%,32,29%,70%
Ash,Slug Shot,Battlement,5,37%,29,16%,58%
